Organisation Name,Website URL,Logo URL,Short Description,Address,Postcode,Latitude,Longitude
361 Energy,http://www.361energy.org,https://communityenergyengland.org/files/img_cache/2851/340_260_1738335938_361-Energy-CIC-Logo-High-Res-May-15-1-e1679913817980.jpg?1738335947,"361 Energy CIC is a not-for-profit social enterprise. Our focus is on providing energy advice to households and businesses in North Devon and Torridge. We provide free energy saving advice to vulnerable households. We also have Retrofit Coordinators who can advise on suitable ways to upgrade your home, making it more energy efficient and lowering its carbon emissions. Please contact us if you would like to know more about our services.","108, Queens House, Queen Street, Barnstaple",EX32 8HJ,51.079764,-4.056573
Abbotts Ann Community Land Trust,https://aaclt.abbottsann.com/,https://communityenergyengland.org/files/img_cache/2563/340_260_1710184769_AbbottAnnScreenshot2024-03-11191149.png?1710184786,Part of the National Community Land Trust Network,,SP11 7BT,51.179945,-1.529464
Acocks Greener,https://www.facebook.com/groups/acocksgreener/,https://communityenergyengland.org/files/img_cache/2161/340_260_1675174779_Acocksgreener.png?1675176047,Acocks Green and Tyseley preparing for climate change,,B27 6EF,52.450381,-1.820481
Acomb Community Energy,,,,,,,
Aldgate Solar Power,https://www.repowering.org.uk/aldgate-solar-power/,https://www.repowering.org.uk/wp-content/uploads/2020/08/Full_colour_Icon-removebg-preview.png,"Bringing solar energy to the City of London

Working with local people and the City of London Corporation, Repowering London has now developed the City of London’s first community-owned solar project, Aldgate Solar Power (ASP).",,SW9 9SP,51.464706,-0.115104
Allgreen Energy,http://www.allgreenergy.org/,https://communityenergyengland.org/files/img_cache/2300/340_260_1679990833_AllgreenEnergy.jpg?1679990839,"Allgreen Energy provides renewable energy solutions and supplies battery energy storage, hybrid inverter, battery, and solar panel",,L3 5TF,53.403908,-2.971225
Alwoodley Community Energy,https://alwoodleycommunityenergy.co.uk/,https://communityenergyengland.org/files/img_cache/2839/340_260_1737723002_AlwoodyCE.png?1737724193,"Alwoodley Community Energy (ACE) is a Community Benefit Society founded in November 2024 by a group of passionate local volunteers in north Leeds focused on renewable energy solutions. All our profits go right back into supporting our community and developing further energy saving projects that benefit our community and promote energy sustainability. We're united by one shared goal...to lower carbon emissions and make energy more affordable for everyone. 

Our mission is to build a cleaner, greener future by empowering residents to take action that benefits both the environment and lowers energy bills through renewable energy initiatives. ",,LS17 7NZ,53.859358,-1.554926
Archenfield Community Environment Group,https://www.facebook.com/groups/2002263053275608/,https://communityenergyengland.org/files/img_cache/2570/340_260_1711470997_Archenfield-Leaf-Logo-SageBack-CMYK.png?1711480122,To support creative responses to the challenges of climate change and all resource depletion which provide opportunities for making better ways of life in the community now and in the future.,,HR9 6NH,51.883839,-2.682899
Ashford Borough Council,https://www.ashford.gov.uk/,https://communityenergyengland.org/files/img_cache/2802/340_260_1733143762_AshfordBoroughCouncil.png?1733143767,,,TN23 7SJ,51.136465,0.866969
Ashton Hayes Community Energy,http://goingcarbonneutral.co.uk,https://communityenergyengland.org/files/img_cache/1927/340_260_1668594991_AshtonHayesCarbonNeutral.jpg?1668595236,The Ashton Hayes Going Carbon Neutral Project is a community-led initiative that is aimed at making our village the first carbon neutral community in England.,,NE71 6BL,55.546525,-2.01842
Ashwell Parish Council,http://www.ashwell.gov.uk/,https://communityenergyengland.org/files/img_cache/2512/340_260_1701777668_Ashwellparish.png?1701777675,,,SG7 5PE,52.03964,-0.156455
Association for Decentralised Energy,https://www.theade.co.uk/,https://www.theade.co.uk/media/dwiemttd/ade-logo.png,"We are driving the decarbonisation of heat, championing the role of industry in the green transition and pushing for UK homes, places of work and public services to be energy efficient and smart.

Only by getting users engaged and investing in energy efficiency, low carbon heat and providing smart flexibility will the UK truly be able to decarbonise its energy system. For this to happen, energy must work for the user.

At the ADE, we believe that an energy system designed around the user's needs, enabling the right technology choice in the right place, serves everyone better.",,SW1H 0DX,51.499254,-0.131862
Avalon Community Energy Ltd,https://avaloncommunityenergy.org.uk/,https://communityenergyengland.org/files/img_cache/1928/340_260_1678367480_AvalonCommunityEnergyupdated.png?1678367500,"We are a community-owned social enterprise based in the Avalon area of Somerset including Glastonbury, Wells, Street, Shepton Mallet and surrounding villages. Avalon Community Energy (ACE) provides and enables increasing generation of renewable energy. We operate solar installations that provide clean energy with community benefits and are keen to drive the energy transition to a sustainable low-carbon future.",,BA5 2UZ,51.212742,-2.638149
Awel Aman Tawe,http://awelamantawe.org.uk/,https://communityenergyengland.org/files/img_cache/2407/340_260_1689165493_AwelAmanTawe.png?1689171315,A Pioneering Community Energy Charity based in South Wales,,SA9 2GN,51.800904,-3.820471
Banister House Solar,https://www.repowering.org.uk/wp-content/uploads/2020/05/Banister1pgReport_2015.pdf,https://communityenergyengland.org/files/img_cache/2593/340_260_1713529660_Repowering.png?1713535264,"Banister House Solar is the first community owned solar energy project in Hackney and the UK's largest community energy project on social housing. Repowering London and Hackney Council have worked to develop this project alongside residents of the Banister House Estate and local energy advocacy group, Hackney Energy. Funding and support for the project has been provided by Hackney Council.",,E9 6BT,51.549404,-0.045071
Basingstoke Energy Co-op,http://bes.coop,https://communityenergyengland.org/files/img_cache/1929/340_260_1668595169_Basingstokecoop.png?1668602374,"We are a registered co-operative set up in 2012. Our mission is to design & install renewable energy systems for the home, business, and the community.

We have installed renewable energy systems on many homes, fire stations, feeding directly into railways, on warehouse roofs, in fields, on village halls, on college roofs – almost anywhere an effective renewable energy system can be installed.

But not everywhere: We will only install systems that will give value for money over the whole lifetime of the system. 

We always provide performance and financial models as part of our tender. That way, you know what you can expect & plan for.",,RG21 4HG,51.268046,-1.074193
Bath and West Community Energy,http://bwce.coop,https://communityenergyengland.org/files/img_cache/2066/340_260_1671551386_BWCE.png?1671551437,"We are a not for profit community business, committed to putting people at the heart of the energy transition. Our renewable energy projects place ownership and control of energy in the hands of local people and actively benefit local communities. We are part of a UK community energy movement of over 400 organisations.",,BA1 2NN,51.384224,-2.364008
Baywind Energy Co-operative,http://baywind.co.uk,https://communityenergyengland.org/files/img_cache/2067/340_260_1671551424_Baywind.png?1671551437,"Baywind Energy Co-operative is proud to be the first UK co-operative to own wind turbines.

After successfully raising £2 million through share offers in 1997,  Baywind has over 1,200 members.

For almost  20 years we owned six wind turbines in Cumbria. Five of our wind turbines based at Harlock Hill in Cumbria were decommissioned in January 2016, to make way for 2 new high powered turbines belonging to our successor High Winds Community Energy Co-operative.",,LA14 2PN,54.118489,-3.24165
Bedfordshire Climate Change Forum,https://bedsclimatechange.wordpress.com/,https://communityenergyengland.org/files/img_cache/2145/340_260_1674578363_BedfordshireClimateChangeForum.png?1674578379,Bedfordshire Climate Change Forum campaigns to promote action on climate change in Bedfordshire. The Forum is a network of local supporters.,,MK43 9LY,52.073282,-0.525412
Belper Community Energy,https://www.belpercommunityenergy.org.uk/,https://communityenergyengland.org/files/img_cache/2374/340_260_1686665651_Belpercommunityenergy.jpg?1686668553,"We aim to promote the development of low-carbon renewable energy generation opportunities to community groups, businesses and other organisations in Belper and surrounding areas. Initially, we are facilitating the installation of solar panels.","43 Cherry Tree Avenue, Belper, Derbyshire",DE56 1FR,,
Big Solar Coop,https://bigsolar.coop/,https://communityenergyengland.org/files/img_cache/2068/340_260_1671551530_Bigsolarcoop.png?1671551695,"Why hasn’t every big roof got solar? In an energy and climate crisis, it just doesn’t make sense.

We're working on a fix for that, one rooftop at a time. The Big Solar Co-op is a not-for-profit, carbon-first and volunteer-led organisation.",,SY1 2DP,52.713913,-2.752236
Binbrook Parish Council,https://binbrookpc.com/,,,,LN8 6BH,53.427195,-0.179823
Black Butterfly,https://www.blackbutterfly.org.uk/,,A cultural heritage and social justice platform supporting people of African heritage.,,,,
Black Country Make CIC,,,,,,,
Bonsall Energy Group,https://bonsallenergy.group/,https://communityenergyengland.org/files/img_cache/2302/340_260_1680257414_BonsallEnergyGroup.jpg?1680257449,"Establishing how Bonsall can benefit from community-driven, renewable energy",,DE4 2AF,53.120142,-1.581705
Bradford Community Energy,https://bcel.org/,https://communityenergyengland.org/files/img_cache/2070/340_260_1671551659_BradfordCommunityEnergy.png?1671551695,"The prime focus of Bradford Community Energy is to reduce the damaging effect that most energy production and usage has on our environment. We are driven by the knowledge that it is our responsibility to take action now that ensures the planet we pass on to our children is better cared for than the one we inherited. The whole philosophy of Community Enterprises such as ours is that it puts local people in the driving seat, feeding the many benefits directly into the local community, not corporate investors. Our passion is to show just what can be achieved in a densely populated and polluted inner-city area such as Little Horton.

We want to not just be a driver for change, we will be that very driver of change; producing clean energy and local community benefit, supporting community assets and tackling local fuel poverty. If you share our vision and please consider becoming a shareholder.",,BD5 0LN,53.780425,-1.763863
Brampton 2 Zero,https://www.brampton2zero.org.uk/,https://communityenergyengland.org/files/img_cache/2072/340_260_1671551903_Brampton2zero.png?1671551908,At Brampton 2 Zero we carry out Community net carbon zero projects with the aim of getting Brampton to net zero carbon emissions in fifteen years.,,CA8 1TY,,
Brampton and Beyond Energy,https://www.uk.coop/directory/brampton-and-beyond-energy,https://communityenergyengland.org/files/img_cache/1921/340_260_1671551738_BramptonBE.png?1671551908,"The Brampton and Beyond Community Trust was established in 2010 and provides services and business support for the community of Brampton and surrounding region. In December 2012, the Trust was instrumental in registering Brampton and Beyond Energy (BABE) as an IPS company for community benefit.

The Trust has 9 Directors and BABE’s main business aim is to generate income from the sale of power, heat and digestate, a proportion of which would be returned for community benefit. BBCT also hopes to create new employment opportunities from the exploitation of these by-products.","Irthing Centre, Union Lane, Brampton, Cumbria",CA8 1BX,54.94424,-2.73512
Brendon Energy,http://brendonenergy.org/,https://communityenergyengland.org/files/img_cache/2071/340_260_1671551771_BrendonEnergy.png?1671551908,"A community co-operative (registered as an Industrial and Provident Society for community benefit) set-up in 2011 to establish local renewable energy schemes. Our projects generate clean power, provide a return to investors and all profits are invested in new projects and donated to benefit the local community.",,TA1 3EW,51.015216,-3.095516
Brent Pure Energy,http://www.brentpureenergy.org.uk,https://communityenergyengland.org/files/img_cache/2073/340_260_1671551935_Brent.png?1671552072,"Brent Pure Energy is a Community Benefit Society (a kind of co-operative) that aims to respond to the issue of Climate Change, locally, by delivering renewable energy schemes in the London Borough of Brent. 

Our first project was the very successful installation of solar panels at Queens Park Community School that went live in August 2016. 

Our second project was for two similar arrays on nearby Malorees Infant & Junior schools. The share offer was launched at Malorees Schools, Christchurch Avenue, NW6 7PB in June 2019, and raised £50,000 for a total of 52 kW of solar panels. These are now installed and generating electricity.

Our third and most recent project was the array on Capital City Academy described above.

The schools benefit from low cost, renewable electricity. Investors are repaid capital and interest over 20 years.",,NW6 6LH,51.536514,-0.207667
Bridge Hydro,http://www.bridgehydro.co.uk/,https://communityenergyengland.org/files/img_cache/2841/340_260_1737723098_BridgeHydro.png?1737724207,"The Bridge Hydro initiative is more than a hydroelectric project; it's a pledge to our future, a commitment to more sustainable living for Marlow, and a testament to the power of community. The aim of the project is to generate surplus funds from the sale of the electricity generated by the hydro scheme and to create a 'Green Sustainable initiatives community fund'. This fund will be available to help finance further sustainable, community-based initiatives in Marlow and Bisham.",,KT16 8JQ,51.387423,-0.487244
Bright Renewables,https://brightrenewables.co.uk/,https://communityenergyengland.org/files/img_cache/2074/340_260_1671552006_BrightRenewables.png?1671552072,"We are the UK’s first fully community owned Asset Management company. 

We play a vital role in energising the community energy sector by helping communities to own and operate renewable energy projects and maximise benefits for supported initiatives.",,SE1 7PB,51.5025,-0.119384
Brighton and Hove Energy Services,http://bhesco.co.uk,https://communityenergyengland.org/files/img_cache/1922/340_260_1668592476_BHESCo.png?1668602398,"Brighton & Hove Energy Services Co-operative (BHESCo) is an award winning social enterprise, dedicated to bringing affordable low-carbon energy to everyone in our community.

We develop energy efficiency and renewable energy projects that are meticulously designed to the meet the needs of our customers.

Where possible, projects are developed at no upfront cost to customers through our unique ‘Pay As You Save’ financing. Installation costs are met by our network of community investors who want to use their savings to tackle climate change.",,BN1 1JE,50.820859,-0.140979
Brighton Energy Cooperative,http://brightonenergy.org.uk,https://communityenergyengland.org/files/img_cache/1923/340_260_1682620713_image001.jpg?1682620716,"BEC sprang to life in 2010. After 18 months of planning 8 people invested seed funding;  this then led to our first share launch in 2012. During this period 120 people joined BEC, and we built our first solar PV systems.

Since then we have been mentored by many different organisations and achieved press coverage both nationally and locally.  More than 800 people are now BEC members; we’ve raised over £5,000,000 and built many big solar PV systems.",,BN1 3BA,50.825702,-0.152572
Bristol Energy Cooperative,http://bristolenergy.coop,https://communityenergyengland.org/files/img_cache/2075/340_260_1671552106_Bristol_Energy_Coopcolourlogo.png?1671552113,"Bristol Energy Cooperative was founded in 2011 by a small group of Bristolians looking to take action in the face of the climate crisis.

Over the past 13 years, with the support of over 2000 members, we have invested £13.4 million bringing 22 solar and battery projects online, with a total peak capacity of 12 megawatts – enough to power 3500 typical homes. We keep these assets in community ownership, so the community benefits from the investments over the long term.

Our goal is not only to increase local clean energy generation, but also to build resilience into the foundations of our communities. We do this by reducing carbon emissions, directly supporting community organisations and networks, and empowering people to shape energy generation according to their needs.",,BS2 8PE,51.460378,-2.587275
Bristol Energy Network,http://bristolenergynetwork.org,https://communityenergyengland.org/files/img_cache/2076/340_260_1671552178_BristolEnergyNetwork.jpg?1671552238,"We are a membership organisation who work with our communities to help them be a part of the Just Energy Transition. We do this by meeting our communities where they need to be met, addressing the barriers they face, and helping them to lead the change in their neighbourhood.",,BS2 8QH,51.46137,-2.58841
British Hydropower Association,,https://communityenergyengland.org/files/img_cache/2077/340_260_1671552230_BHA.png?1671552238,"Hydropower, or water power, is one of the most reliable, predictable and least environmentally intrusive of all the renewable energy technologies, and the British Hydropower Association (BHA) strives to ensure that the full potential and associated economic and community benefits are fully realised.

Membership of the BHA is open to all types of businesses, generators, commercial organisations, academia, charities, community groups, and anyone involved in or with an interest in hydropower. Our membership is diverse, covering all sizes and types of hydropower from pico to pumped storage.",,BH22 8JU,50.793203,-1.897172
Brixton Energy Solar,https://brixtonenergy.co.uk/,https://communityenergyengland.org/files/img_cache/2079/340_260_1671552289_BrixtonSolar1.png?1671552380,"Brixton Energy is a group of not-for-profit co-operatives based in south London.  Co-operatives are not-for-profit organisations that are jointly owned and operated by a group of people for their mutual benefit. They are democratic enterprises, operating with a one member, one vote policy

We have completed three projects installing solar panels on social housing, generating clean renewable electricity, a financial return for our investors and income for our community fund. Check out the rest of the website to learn about our projects and for ways to get involved!",,SW9 8PQ,51.46332,-0.111692
Brixton Energy Solar 2,,https://communityenergyengland.org/files/img_cache/2080/340_260_1671552304_BrixtonSolar2.png?1671552380,,,,,
Brixton Energy Solar 3,,https://brixtonenergy.co.uk/wp-content/themes/brixtonenergy/images/brixtonenergylogo.png,,,,,
Buckinghamshire Community Energy Ltd.,https://buckscommunityenergy.org/,https://communityenergyengland.org/files/img_cache/2093/340_260_1673356592_Large-BCE-logo-no-strap-300x211.png?1673372238,"BCE enables schools, public buildings and businesses to cut their carbon emissions and pay less for energy by partnering with them to provide a source of renewable energy.

Buckinghamshire Community Energy (BCE) is a community benefit society, which means it is a not-for-profit social enterprise registered with the FCA, with an asset lock and funding from people in the community, who fund projects, become Members and have a say in how BCE is run and what projects it should develop.",,HP22 5XB,51.791489,-0.799849
Burlington Retrofit C.I.C.,,,,,,,
Burneside Community Energy,https://bce.org.uk/,https://communityenergyengland.org/files/img_cache/2272/340_260_1675933277_burneside.png?1675936164,Burneside Community Energy (BCE) Ltd is a 'community benefit society' (registration number 7241). It was set up in November 2015 to support the development of community owned renewable energy and low carbon projects in Burneside and the surrounding area.,"1 The Hollins, Hollins Lane, Burneside",LA9 5SG,54.351102,-2.767035
Burnham and Weston Energy CIC,http://www.burnhamandwestonenergy.co.uk/,https://communityenergyengland.org/files/img_cache/2632/340_260_1717758443_BurnhamandWestonEnergy.png?1717758602,"Burnham and Weston Energy CIC is a new local energy company which generates solar electricity income to support community projects in the Burnham and Weston area, and help households struggling with fuel poverty.",,TR16 5EZ,50.254942,-5.194667
Burton Community Energy Group,,,,,,,
Buzz Community Energy,https://buzzcommunityenergy.co.uk/,https://buzzcommunityenergy.co.uk/wp-content/uploads/2024/05/cropped-MainLogo.png,"We are a volunteer led Community Benefit Society looking to reduce the reliance on fossil fuels in Leighton Buzzard and surrounding areas. Through working together, we can allow our whole community to access reliable, sustainable and cheaper energy.","4 Bridge Street, Leighton Buzzard, Central Bedfordshire",LU7 1AL,51.91597,-0.665691
CAG Consultants,https://cagconsultants.co.uk/,https://cagconsultants.co.uk/wp-content/uploads/2024/04/CAG_logo_full-1.png,"CAG Consultants are leaders in evidence-based research, advice and engagement for environmental, economic and social sustainability.

We specialise in operating at the interface of policy and practice, and work with a wide range of clients (public, private and third sector) across the UK to develop better-informed policy and strategy, and provide bespoke solutions to complex problems.

Our innovative, flexible, home-working model minimises the environmental impacts of our day-to-day work. Nevertheless, through our environmental policy we are endeavouring to take full account of our environmental impact and aim to continuously improve our performance in this area.",,EC3N 1LS,51.513279,-0.075934
Cally Energy,https://callyenergy.org/,https://communityenergyengland.org/files/img_cache/2167/340_260_1675180603_Callyenergy.jpg?1675180615,Cally Energy is a non-profit green energy project designed to help communities from the Caledonian and Barnsbury Wards.,"41 Huntingdon Street, London",N1 1BP,51.541995,-0.116095
Carbon Alternatives Ltd,http://carbonalternatives.co.uk/,https://communityenergyengland.org/files/img_cache/1933/340_260_1668614984_carbonalternatives.png?1668615208,"Carbon Alternatives is a hands-on consultancy that works to improve the technical and economic implementation of heat networks. We have experience in the feasibility, design, construction, commissioning and operation of heat networks, utilising CHP, heat pumps, chillers, thermal storage etc. We have lowered the operating costs on every scheme we have worked on and reduced the capital cost too on all new build schemes. This is achieved through experienced design knowledge from UK and Scandinavia, simplification and attention to detail, all of which also improve reliability. We can achieve this at all stages of feasibility, design, construction, commissioning and in operation. We accurately model DH techno-economic performance using energyPRO, close loop heat pumps boreholes using GLDesign and Thermos for initial heat network assessments. We readily engage with other associates where they have better knowledge that would improve a projects and when a greater staff resource is needed.","16 Belvedere Road, Oxford",OX4 2AZ,51.74382,-1.226539
Carbon Co-op,http://carbon.coop,https://communityenergyengland.org/files/img_cache/1932/340_260_1668614960_Carbon.png?1668615208,We're an energy services and advocacy cooperative - together we will make radical reductions in home carbon emissions to avoid runaway climate change.,"22a Beswick Street, Ancoats, Manchester",M4 7HR,53.483485,-2.214126
Central Suffolk Community Energy,http://csceuk.org/,https://communityenergyengland.org/files/img_cache/2661/340_260_1718970906_cscelogo.png?1719193872,"Central Suffolk Community Energy is a Community Interest Company, working with communities and supported by our county and district councils. Through sharing what works, our aim is to help households and communities reduce their energy costs, improve resilience and reduce our carbon footprint.",,IP6 9QA,52.142624,1.116967
Centre for Energy Equality,https://cee-uk.com/,https://cee-uk.com/wp-content/uploads/2020/11/cropped-CEE-Logo.png,"Centre for Energy Equality is a Social Enterprise with a mission to identify, test, develop, and deploy the solutions that will ensure equal access to safe, affordable and sustainable energy across all communities. 

We bring together a unique blend of expertise, practical solutions and access to networks in order to promote, develop and support initiatives that help people access affordable and sustainable energy. 

We work with organisations across all sectors to ensure that the low-carbon energy transition leaves no one behind and brings new opportunities for individuals and communities to fulfil their potential. ","10 Farndon Close, Cuddington, Northwich, England",CW8 2QH,51.521881,-0.102071
Centre for Sustainable Energy,https://www.cse.org.uk/,https://communityenergyengland.org/files/img_cache/2793/340_260_1732044540_CSE.png?1732044551,"CSE is an independent national charity formed in 1979. Our vision is a world where sustainability is second nature, carbon emissions have been cut to safe levels and fuel poverty has been replaced by energy justice.

We share our knowledge and practical experience to empower people to change the way they think and act about energy.

CSE supports people and organisations across the UK to tackle the climate emergency and end the suffering caused by cold homes.","St James Court, St James Parade, Bristol",BS1 3LH,51.458904,-2.592481
Charge my Street,https://chargemystreet.co.uk/,https://communityenergyengland.org/files/img_cache/2083/340_260_1671552703_ChargemyStreet.jpg?1671612770,"Charge My Street is a social enterprise (Community Benefit Society) which installs and operates community EV chargepoints, raising money through community shares. All profits are reinvested with a view to growing the EV chargepoint network.",,LA1 4XQ,54.044735,-2.797296
Charsfield Community Energy,https://charsfield.org.uk/energy/,https://charsfield.org.uk/wp-content/uploads/2024/03/Energy-Poster-Header.png,"Charsfield has a vision for a sustainable future.

Charsfield Parish Council recently expressed interest in applying for funding from the Greater South East Net Zero Hub to support the development of a community energy project. Stage 1 funding aims to provide access to £40,000 for a feasibility study to assess the viability of setting up a renewable energy project in and around the village. A small group has been set up to steer us through that process.",,IP1 2BX,52.054188,1.143672
Chase Community Solar,http://chasesolar.org.uk,,"We are a community benefit society and in 2015 we raised over £1 million, through a community share offer and loan, so that, with the support of Cannock Chase Council, we could have 314 of their council bungalows fitted with solar panels.",,WS11 1TD,52.67812,-2.04784
Chester Community Energy Ltd.,http://www.chestercommunityenergy.org.uk,https://communityenergyengland.org/files/img_cache/2148/340_260_1674828902_CCE-logo-banner-RBG-narrow.jpg?1674838378,Northgate Leisure Centre is the site of CCEL's first solar pv project. It was commissioned in September 2016 with the benefit of the government feed in tariff and a power purchase agreement with Cheshire West and Chester borough council. The 192 roof mounted solar panels produce enough electricity to power 12 average households.,,CH4 7HL,53.182272,-2.889728
"Church of England, Archbishops' Council",https://www.churchofengland.org/,https://communityenergyengland.org/files/img_cache/2823/340_260_1736865688_ChurchofEngland.png?1736870627,"We are a Church for all, online and in every community in England and across Europe.",,SW1P 3AZ,51.497937,-0.129351
Climate Action Network West Midlands,https://www.climateactionwm.org.uk/,https://communityenergyengland.org/files/img_cache/2150/340_260_1675180808_Climateactionnetwork.jpg?1675194846,"Climate Action Network West Midlands (CANWM) has developed a ""Climate Action Charter"" to highlight practical measures we can take to drastically cut fossil fuel use.  These measures will also reduce waste, create jobs and healthier, cleaner communities.",Across West Midlands,B1 1AY,52.475924,-1.905392
Climate Action Stokesley and Villages,https://climateactionstokesleyandvillages.org/,https://communityenergyengland.org/files/img_cache/2168/340_260_1675180828_Climateactionstokesley.jpg?1675194846,We aim to help the communities in Stokesley and the surrounding villages to take action on climate change by supporting and developing local initiatives to reduce carbon emissions or adapt to the changing climate.,,TS9 5AD,54.46965,-1.191922
Co-operatives UK,http://uk.coop,https://communityenergyengland.org/files/img_cache/2151/340_260_1696344906_coopsUK.png?1696349880,"The network for Britain's thousands of co-operatives, working to promote, develop and unite member-owned businesses.",,M60 0AS,53.48643,-2.239353
CO2Sense,http://co2sense.co.uk,https://communityenergyengland.org/files/img_cache/2152/340_260_1674829314_CO2sense.png?1674829503,"We're on a mission to support low-carbon growth. By bridging public funds and private capital, we help communities and investors realise the benefits of the clean energy transition.",,SE1 7PB,51.5025,-0.119384
