Organisation Name,Type,Website URL,Logo URL,Short Description,Address,Postcode,Latitude,Longitude
"ABC Group (Achnacarry, Bunarkaig and Clunes Group)",community-energy-group,https://www.facebook.com/LochLochyCommunity/,Not Found on Facebook Page,"A community group for the Loch Lochy area, focusing on local issues and engagement.",Not found on Facebook page,PH344EJ,56.94551,-4.98282
Aberdeen Council of Voluntary Organisations,community-energy-related,https://www.acvo.org.uk,https://www.acvo.org.uk/wp-content/themes/acvo_theme/images/acvo-logo.png,"ACVO is the Third Sector Interface for Aberdeen, supporting charities, social enterprises and voluntary groups.","38 Castle St, Aberdeen",AB11 5BB,57.146904,-2.094595
Aberdeen Multicultural Centre,community-energy-group,https://www.abmc.org.uk/,https://www.abmc.org.uk/wp-content/uploads/2019/04/ABMC-logo.png,A centre promoting cultural diversity and supporting multicultural communities in Aberdeen.,"57-59 John Street, Aberdeen",AB25 1BT,57.1488,-2.0963
Abergeldie Community Organisation,community-energy-related,https://www.abergeldie.com/,https://www.abergeldie.com/wp-content/uploads/2017/04/abergeldie_estate_logo.png,"Abergeldie Estate is a historic private estate in Aberdeenshire, managing land for farming, forestry, and sporting activities.","Abergeldie Estate Office, Ballater",AB35 5XP,57.042898,-3.310188
Aigas Community Forest,community-energy-related,https://www.aigasforest.org.uk,Not Found on Website,A community-managed woodland providing recreational access and promoting sustainable forestry.,"Aigas Community Forest, Aigas, Beauly",IV4 7AD,57.481231,-4.544176
Allanton Village Hall,community-energy-member,https://www.facebook.com/AllantonVillageHall/,Not Found on Facebook Page,"A community hall serving the village of Allanton, used for local events and gatherings.","Allanton Village Hall, Allanton, Duns",TD11 3NE,55.772,-2.259
Alloa Community Enterprises,community-energy-member,https://www.ace.scot,https://ace.scot/wp-content/uploads/2021/04/ACE-Logo.png,A social enterprise offering professional construction and property maintenance services while providing training and employment opportunities.,"Unit 2, The Hub, Whins Road, Alloa",FK10 3EF,56.1218,-3.7915
Alness Partnership,community-energy-member,https://www.facebook.com/thealnesspartnership/,Not Found on Facebook Page,A local partnership working to enhance the community of Alness through various projects and initiatives.,Not found on Facebook page,IV17 0QL,57.697,-4.25
Alness Transition Town,community-energy-group,Not Found,Not Found,A local group promoting sustainability and resilience within the Alness community.,Not Found,Not Provided,Not Provided,Not Provided
Alva Glen Heritage Trust,community-energy-member,https://www.facebook.com/AlvaGlenHT/,Not Found on Facebook Page,A trust dedicated to preserving and maintaining the natural beauty and heritage of Alva Glen.,Not found on Facebook page,FK12 5EU,56.1557,-3.7952
Antonine Sports Centre (The),community-energy-member,http://antoninesportscentre.co.uk/,https://antoninesportscentre.co.uk/wp-content/uploads/2017/01/ASC-Logo.png,"Antonine Sports Centre provides modern sports and fitness facilities, including a gym and pitches, for the local community.",Not Found,G65 0HT,55.972352,-4.148116
Applecross Community Company,community-energy-group,https://www.applecrosscommunitycompany.org,https://www.applecrosscommunitycompany.org/wp-content/uploads/2018/06/ACC-Logo.png,"The Applecross Community Company works to develop and sustain the community of Applecross, focusing on economic and social projects.","The Old Bakery, Applecross",IV54 8LR,57.433606,-5.811776
