Organisation,Website
361 Energy,https://361energy.org/
Abingdon Green Town Energy,https://www.lowcarbonhub.org/p/community-group-of-the-month-abingdon-carbon-cutters/
Acomb Community Energy,https://www.acombpc.co.uk/energy/
Act on Energy,https://www.actonenergy.org.uk/
Aldgate Solar Power,https://www.repowering.org.uk/aldgate-solar-power/
Andover Community Hub,https://www.andoverhub.org/
Arco2 Architecture Ltd,https://www.arco2.co.uk/
Arnos Vale Cemetery Trust,https://arnosvale.org.uk/
Bath & West Community Energy,https://www.bwce.coop/
Baywind Energy Co‑operative,https://energy4all.coop/projects/baywind/
Bicester Green,https://www.bicestergreen.org.uk/
Big Solar Co‑op,https://bigsolar.coop/
Blackmore Vale Energy,https://www.greensandenergy.org/
Bradford on Avon Community Energy,https://climatefriendlybradfordonavon.co.uk/community-energy/
Brighton & Hove Energy Services Co‑operative (BHESCo),https://bhesco.co.uk/
Bristol Energy Co‑operative,https://bristolenergy.coop/
Carbon Co‑op,https://carbon.coop/
Bicester Green,https://www.bicestergreen.org.uk/
Big Solar Co‑op,https://bigsolar.coop/
Blackmore Vale Energy,https://www.greensandenergy.org/
Bradford on Avon Community Energy,https://climatefriendlybradfordonavon.co.uk/community-energy/
Brighton & Hove Energy Services Co‑operative (BHESCo),https://bhesco.co.uk/
Bristol Energy Co‑operative,https://bristolenergy.coop/
Carbon Co‑op,https://carbon.coop/
Chew Valley Community Energy,https://chewvalleygreenhub.org.uk/
Chichester Community Energy,https://meadowblue-energy.org/
Chipping Norton Community Energy,https://www.lowcarbonhub.org/p/community-groups/transition-chipping-norton/
Church Stretton Climate Action (Stretton Climate Care),https://strettonclimatecare.org.uk/
Clevedon Community Energy,https://www.ourcdclt.co.uk/renewable-energy.html
Climate Friendly Bradford on Avon,https://climatefriendlybradfordonavon.co.uk/
Climate Friendly Stroud (Transition Stroud),https://transitionstroud.org/
Clophill Community Energy,*(no active website found – omitted)*
Co‑op Energy (Octopus Community Energy),https://energy.yourcoop.coop/
Cockermouth Community Energy (Community Energy Cumbria),https://www.communityenergycumbria.co.uk/
Colchester Community Energy,https://www.communityenergycolchester.co.uk/
Cornwall Community Energy,https://communitypowercornwall.coop/
Community Energy England,https://communityenergyengland.org/
Community Energy London,https://communityenergy.london/
Community Energy South,https://communityenergypathways.org.uk/
Fintry Development Trust,https://www.fintrydt.org.uk/
Awesome Energy (Dalavich Hydro),https://www.awesome-energy.com/
Dalavich Improvement Group,https://www.dalavichimprovementgroup.org/
Dollar Community Development Trust,https://www.dollarcdt.com/
Devon Community Energy Network,https://devonresourcehub.org.uk/our-work/community-energy/
Dorset Community Energy,https://www.dorsetcommunityenergy.org.uk/
Energise Sussex Coast,https://www.energisesussexcoast.co.uk/
Energy Alton,https://energyalton.org.uk/
Exeter Community Energy,https://www.ecoe.org.uk/
Enfield Energy Champions (Enfield Energy Future),https://www.enfieldenergyfuture.org/
Forest Energy Community Initiative,https://www.aurora-h2020.eu/fod-home/
Frome Renewable Energy Co‑op (FRECo),https://freco.org/
Gainsborough Community Energy,https://gainsboroughcommunityenergy.org.uk/
Glastonbury & Street Community Energy,https://glastonburycommunityenergy.org.uk/
Gloucester Community Energy Co‑operative,https://gloucestercommunityenergy.org/
Good Energy (Community Tariff),https://goodenergycommunity.co.uk/
Hampshire Community Energy Network,https://hampshirecenetwork.org/
Havant Community Energy,https://www.havantcommunityenergy.org/
Hackney Light and Power (Community Energy Fund),https://www.hackney.gov.uk/hackney-light-and-power/
Haringey Community Carbon Fund,https://www.haringey.gov.uk/environment/climate/haringey-community-carbon-fund
Havant Climate Alliance,https://havantclimatealliance.com/
Heating South Tyneside (HEAT initiative),https://www.southtyneside.gov.uk/article/24397/Home-Energy-Advice-Team-HEAT
Hinckley & Bosworth Climate Action (community energy efforts via Council),https://bigcommunityswitch.co.uk/hinckley-and-bosworth/home
Holme Valley Climate Action,https://www.holmevalleyparishcouncil.gov.uk/climate-action/climate-action-and-hvpc/
Hook Norton Low Carbon,https://www.hn-lc.org.uk/
Hope Valley Climate Action,https://hopevalleyclimateaction.org.uk/
Community Energy Horsham (Energise South Society),https://energisesouth.coop/community-energy-horsham/
Humshaugh Community (Humshaugh Net Zero),https://humshaughnetzero.org/
Kinlochbervie Community Energy,https://kinlochbervierenewableenergyproject.co.uk/
Knoydart Renewables (Knoydart Foundation),https://knoydart.org/knoydart-renewables/
Kyle of Sutherland Development Trust,https://kosdt.com/
